12,2,4,13,7,11,14,0,0,5
8,7,13,6,6,9,4,0,0,1
10,7,15,8,4,7,4,0,12,2
11,6,12,3,8,9,5,13,13,2
6,2,12,6,8,10,9,0,0,1
1,13,0,15,14,3,11,14,11,7
8,10,12,1,10,3,10,0,0,3
15,9,0,11,4,5,15,0,0,5
4,9,8,10,6,14,3,0,12,2
12,14,14,0,3,3,11,0,0,1
3,15,0,14,14,0,9,14,0,7
1,5,0,15,1,15,1,0,0,5
13,9,14,2,3,5,13,0,11,1
13,12,14,1,2,4,13,0,0,3
13,11,4,8,3,6,13,0,13,2
15,11,0,8,1,5,15,0,12,2
2,15,0,15,13,0,9,14,11,7
14,6,13,3,7,7,6,0,0,2
2,3,9,14,6,14,2,0,0,2
11,13,4,12,6,0,12,0,0,6
7,3,10,9,7,7,6,0,14,1
14,11,15,1,2,5,13,0,0,1
1,13,5,14,4,15,1,0,0,2
7,1,7,8,14,11,7,0,11,1
6,14,0,15,13,0,10,14,0,7
9,5,14,3,11,8,5,0,12,2
9,3,8,3,11,13,9,0,0,1
7,3,10,6,13,7,5,0,13,1
9,9,5,4,8,7,11,0,0,1
1,7,8,9,13,6,2,0,0,2
14,13,14,1,2,4,12,0,0,1
8,2,13,3,12,11,9,0,0,1
5,4,12,5,7,8,8,0,0,2
7,2,7,4,13,10,8,0,0,1
1,15,0,14,15,0,5,14,0,7
15,15,4,7,1,5,8,15,0,7
15,2,0,1,3,3,15,0,0,2
6,4,8,7,11,8,6,0,0,1
6,15,0,13,10,0,8,15,0,7
11,10,15,6,2,7,5,0,15,2
2,4,7,8,13,14,3,0,14,1
15,1,0,13,4,15,15,0,15,2
1,5,0,15,1,15,1,0,0,5
3,14,0,15,8,0,12,14,0,7
6,4,12,11,10,11,3,0,0,2
4,14,0,13,15,0,6,15,0,7
4,9,12,10,5,13,2,0,0,2
14,7,14,2,3,4,14,0,0,1
4,2,5,9,13,9,9,13,14,2
13,10,15,2,2,5,12,0,12,1
3,13,0,15,6,3,12,14,0,7
3,12,4,13,12,0,8,14,0,7
4,9,10,5,8,14,3,0,0,2
5,3,9,10,14,13,2,0,0,2
5,2,5,12,13,15,7,0,0,2
8,7,5,6,10,6,11,0,11,1
2,6,9,11,9,14,3,0,11,2
13,13,15,2,1,0,12,0,0,3
7,9,14,4,10,10,2,0,0,1
14,8,11,2,3,4,14,0,11,1
1,15,0,1,15,0,1,0,0,6
3,2,6,9,13,14,4,0,0,2
14,13,15,2,1,4,12,0,0,1
14,15,4,14,1,15,13,0,0,7
13,10,4,12,3,7,12,13,13,2
2,5,10,10,12,14,2,0,0,2
11,12,9,7,2,6,9,13,0,1
10,13,6,14,1,15,1,15,0,7
12,11,4,4,7,0,13,0,0,6
6,1,5,12,9,14,12,0,0,2
12,10,9,1,6,4,10,13,14,3
8,2,9,7,9,9,9,0,0,1
8,2,10,6,11,11,9,0,12,1
9,9,15,4,5,9,3,0,0,2
1,12,0,15,13,4,12,14,10,7
1,14,0,15,12,3,11,14,0,7
6,1,6,3,15,12,10,0,14,2
5,7,9,9,8,8,3,0,0,2
14,11,3,8,4,5,14,0,0,2
8,4,9,4,10,13,7,0,0,1
4,9,6,6,6,7,8,0,0,3
15,1,0,1,11,0,15,0,0,2
2,3,9,13,9,14,2,0,0,2
10,6,15,4,5,11,6,0,0,2
9,11,0,1,15,0,14,0,0,2
4,1,0,4,15,15,10,0,0,7
11,10,8,7,2,7,11,0,0,1
7,3,8,3,13,8,7,0,0,1
13,6,12,2,4,5,13,0,13,1
7,9,13,4,8,9,4,0,12,1
9,2,8,7,10,13,8,0,0,1
2,6,7,11,13,3,5,0,14,2
3,5,11,10,8,11,2,0,0,2
6,13,0,14,14,0,8,15,0,7
6,5,9,12,7,7,6,0,11,1
14,13,14,2,1,5,11,0,15,3
5,4,10,12,12,13,2,0,0,2
9,7,8,8,6,10,6,0,0,1
15,10,0,14,69,9,15,15,15,2
15,12,13,1,1,2,13,0,12,1
1,11,5,13,8,15,5,14,0,7
4,5,6,5,11,7,7,0,0,3
12,8,0,8,4,5,15,0,0,5
10,14,0,13,9,15,1,15,0,7
6,14,0,14,11,0,7,15,11,7
7,6,12,2,13,9,4,0,0,1
7,3,10,7,11,12,8,0,0,1
14,9,6,5,5,11,10,0,0,7
11,4,13,11,5,9,7,0,12,2
15,11,13,1,2,3,14,0,13,1
7,3,13,6,11,11,7,0,0,1
13,6,11,2,4,5,13,0,13,1
8,7,6,7,7,10,8,0,0,1
10,4,14,3,4,13,11,0,14,2
2,7,7,8,12,11,1,0,0,2
12,14,0,1,15,0,14,0,0,6
3,5,8,9,9,11,3,0,0,2
15,12,5,4,1,3,14,0,0,2
12,2,0,12,15,6,15,0,0,5
11,9,14,5,6,9,4,0,12,2
4,1,9,7,9,9,7,0,0,3
10,4,8,6,9,11,6,0,0,1
1,5,7,3,10,12,5,0,15,1
2,15,13,12,2,4,1,0,12,2
10,6,5,6,8,7,11,0,0,1
11,6,6,4,7,9,10,0,13,1
6,8,12,5,11,7,3,0,0,1
11,10,12,3,6,4,9,0,0,1
2,4,7,9,11,6,4,0,0,2
9,10,6,12,2,9,10,0,11,3
12,12,11,7,2,4,8,14,0,1
10,8,6,10,3,8,11,0,0,3
4,14,0,14,12,0,4,15,0,7
4,15,0,13,12,0,8,14,0,7
3,8,9,7,6,8,5,0,0,3
3,12,9,5,9,5,2,0,12,2
13,1,4,11,9,6,14,0,0,5
11,8,7,8,4,6,8,0,0,2
10,3,13,5,6,12,8,0,15,2
14,13,14,1,2,4,12,0,0,1
10,2,5,2,15,5,12,0,14,2
15,1,0,2,1,4,15,0,14,2
12,6,6,6,4,11,11,0,12,1
1,2,7,11,13,14,3,0,14,1
1,15,0,15,15,0,5,14,0,7
7,1,11,7,14,9,6,0,0,1
3,10,10,10,10,6,1,0,0,1
1,8,7,4,7,8,7,0,0,1
1,14,4,10,15,0,1,0,0,6
6,5,7,13,7,13,4,0,0,2
5,3,11,7,6,11,9,0,0,3
13,4,3,10,14,4,14,0,15,5
7,3,9,5,13,9,5,0,0,1
2,6,11,10,12,14,1,0,0,2
5,14,0,13,14,0,6,15,11,7
13,10,15,3,2,3,9,0,0,1
9,6,15,6,4,7,6,0,15,2
11,12,4,11,4,0,12,0,0,6
2,15,0,15,11,3,10,13,0,7
6,11,13,13,3,13,1,0,0,2
10,9,15,7,5,6,4,0,0,2
14,14,0,2,6,4,15,0,11,2
5,6,7,12,5,11,5,0,13,3
4,3,9,9,11,14,4,13,15,2
7,12,11,8,7,6,1,0,0,1
8,6,8,6,9,11,6,0,0,1
8,11,13,3,8,4,8,0,0,3
5,8,9,11,5,14,3,0,0,2
3,13,0,15,14,3,11,13,11,7
5,15,0,14,11,0,5,15,0,7
7,5,11,8,10,9,5,0,12,1
3,8,10,11,9,11,1,0,0,2
9,8,15,5,8,7,3,0,0,2
13,6,12,2,4,5,13,0,13,1
3,1,8,13,13,12,3,0,11,2
9,11,15,10,2,7,4,0,13,2
6,8,11,3,12,9,3,0,0,1
14,13,14,2,1,0,13,0,0,1
5,3,0,13,15,15,14,0,0,5
5,8,12,10,5,13,2,0,15,2
10,5,12,3,4,13,11,0,13,2
12,8,0,12,11,6,14,0,0,5
15,1,0,1,13,0,15,0,0,2
12,3,4,14,3,15,13,13,15,5
2,7,6,9,12,6,4,0,0,2
4,10,10,9,5,13,2,0,0,2
12,12,11,8,3,8,4,0,0,1
6,8,8,3,8,6,6,0,0,1
4,5,5,5,10,9,10,0,14,2
11,12,14,4,3,3,10,0,0,1
8,1,5,6,15,8,11,0,14,1
3,8,11,9,7,6,4,0,0,2
8,3,8,5,10,11,7,13,14,1
11,10,6,5,3,10,10,0,0,1
12,13,0,14,7,0,14,0,0,6
11,15,3,12,5,0,13,0,0,6
13,11,11,3,2,3,12,0,0,1
12,12,3,12,2,6,14,0,13,2
9,4,5,8,9,11,9,13,0,2
8,1,9,8,12,9,7,0,0,1
10,7,14,7,5,9,6,0,0,2
10,14,4,11,5,0,12,0,0,6
2,3,12,11,10,13,3,0,15,1
8,10,7,10,3,9,9,0,0,3
13,13,0,14,14,0,6,15,0,7
3,9,6,5,7,10,5,0,0,3
5,9,8,12,5,12,2,0,0,2
9,2,7,4,9,12,9,0,15,1
13,1,4,11,14,9,15,0,0,5
15,11,5,1,1,3,15,0,0,2
5,7,10,8,7,8,6,0,12,3
4,4,9,11,10,13,2,0,14,2
1,12,4,15,1,15,1,15,0,5
2,5,11,10,12,14,2,0,0,2
